"boro_ct201","n_bldgs","res_units","res_area"
1000000,125,0,0
1000100,2,0,0
1000201,42,1055,900498
1000202,50,3568,3099579
1000500,1,0,0
1000600,161,5234,4631198
1000700,71,7362,7131349
1000800,250,3775,2588870
1000900,98,1076,1359541
1001001,6,839,1246740
1001002,7,2427,3026210
1001200,35,1816,1868752
1001300,89,3929,3798599
1001401,11,1746,1975024
1001402,88,1927,1453408
1001501,135,4471,5029062
1001502,138,5883,5686270
1001600,314,2588,1735540
1001800,318,3580,2527357
1002000,3,1861,1658649
1002100,172,3655,5640161
1002201,103,3206,2812121
1002202,96,1487,1087443
1002400,5,1790,1449589
1002500,5,1934,1250820
1002601,143,1864,1386900
1002602,200,2426,1774879
1002700,50,661,620648
1002800,159,3976,3408305
1002900,227,2549,1573779
1003001,216,2889,1811929
1003002,85,1933,1362655
1003100,84,1110,1512362
1003200,290,5118,3572456
1003300,369,3282,5972225
1003400,334,4743,2939336
1003601,97,1703,1446095
1003602,130,1780,1303948
1003700,240,2212,2323303
1003800,454,5784,3700587
1003900,227,3522,6353784
1004000,302,4852,3284294
1004100,362,4082,2642003
1004200,80,2171,1589675
1004300,237,2707,2282261
1004400,7,8764,8367942
1004500,140,571,1038679
1004700,271,1912,2796220
1004800,243,4657,3334948
1004900,345,3256,4135827
1005000,188,3850,3330226
1005200,156,1775,2424678
1005400,188,3150,3467419
1005501,25,2799,865189
1005502,160,1304,1873135
1005600,89,2407,2569593
1005700,51,1873,2496093
1005800,189,2745,3241246
1005900,87,3495,3161938
1006000,2,2491,3102556
1006100,159,2867,2729547
1006200,18,1471,1743794
1006300,316,4676,4713930
1006400,162,5480,4983814
1006500,281,3874,2539726
1006600,157,7235,5587155
1006700,383,3964,2706826
1006800,191,4618,3765974
1006900,66,1592,1831317
1007000,229,5973,4604473
1007100,324,3991,3513666
1007200,242,5882,4919981
1007300,440,4693,3122491
1007400,170,4395,5027037
1007500,208,2714,2890095
1007600,176,2099,2025267
1007700,360,4446,3105980
1007800,161,6380,5141223
1007900,253,2979,3253331
1008000,255,4290,3645672
1008100,263,5779,4847040
1008200,139,2620,2317037
1008300,125,2419,1964687
1008400,163,1446,1291119
1008601,18,2395,2361827
1008602,3,0,0
1008603,91,3681,4346263
1008700,258,4447,3891067
1008800,88,7147,5967206
1008900,321,3745,2870817
1009000,164,6174,5572492
1009100,215,4660,4355897
1009200,75,1413,1129249
1009300,177,5783,5513960
1009400,93,65,64801
1009500,216,1796,1817749
1009600,155,369,267448
1009700,61,3343,2604011
1009800,308,5976,5253615
